study,trial,state,batch_size,objective,last_epoch,prune_epoch,duration_seconds
warmup=10,72,PRUNED,512,0.5279729924639713,13,13,108.843079
warmup=10,73,PRUNED,512,0.5279188051427758,13,13,79.949969
warmup=10,74,PRUNED,512,0.5280723324939306,13,13,199.504869
warmup=10,75,PRUNED,512,0.5276282753574096,13,13,158.450387
warmup=10,76,PRUNED,1024,0.5287810391780141,13,13,41.926556
warmup=10,77,PRUNED,256,0.5286995268997877,13,13,72.182042
warmup=10,78,PRUNED,512,0.5270653651707132,16,16,99.598575
warmup=10,79,PRUNED,512,0.5277881166183344,13,13,47.502855
warmup=10,80,PRUNED,512,0.5276594963585737,13,13,36.500024
warmup=10,81,PRUNED,512,0.5271033967656779,16,16,55.189677
warmup=10,82,PRUNED,512,0.5276511067723444,13,13,62.775539
warmup=10,83,PRUNED,512,0.525378239053176,20,20,77.12442
warmup=10,84,PRUNED,512,0.5276972350850371,13,13,57.858755
warmup=10,85,PRUNED,128,0.5282544632675412,13,13,100.26276
warmup=10,86,PRUNED,512,0.5282534365960895,13,13,52.058043
warmup=10,87,PRUNED,256,0.5278837644656155,16,16,276.78432
warmup=10,88,PRUNED,512,0.5276651639267265,13,13,50.473677
warmup=10,89,PRUNED,512,0.5335389412333214,11,11,38.983085
warmup=10,90,PRUNED,1024,0.5288004640691327,13,13,35.424306
warmup=10,91,PRUNED,256,0.5278825812876381,16,16,327.63026
warmup=10,92,PRUNED,256,0.5280230402991392,16,16,112.712027
warmup=10,93,PRUNED,256,0.52780283580176,16,16,261.828737
warmup=10,94,PRUNED,256,0.5284334198107217,16,16,214.866668
warmup=10,95,PRUNED,256,0.5273855105790842,16,16,107.299559
warmup=10,96,PRUNED,512,0.5335157864446006,11,11,176.686269
warmup=10,97,COMPLETE,512,0.5250691922900634,100,nan,667.727773
warmup=10,98,COMPLETE,512,0.5247753884841055,100,nan,705.186013
warmup=10,99,PRUNED,512,0.5282380320132197,13,13,105.900867
